sentence,sentiment,sentence_length
"SCANIA Morgan Stanley повысил целевую долю шведского производителя большегрузных автомобилей и автобусов Scania AB до 330 крон (42,4 долл. США - 35,2 евро) с 310 крон (39,8 долл. США - 33,1 евро).",positive,196
"Компания HK Ruokatalo производит множество продуктов из индейки, таких как мясное ассорти.",neutral,90
Контракт рассчитан на следующий год.,neutral,36
"Руководитель компании заявил, что такие страны, как Бразилия, Чили, Аргентина и Мексика, будут лидерами по внедрению услуг бизнес-Ethernet, в то время как Бразилия и Мексика станут первыми странами, которые начнут использовать Ethernet-операторы для мобильной транспортной связи.",neutral,279
The company then said it will focus its resources on clinical research .,neutral,72
The MET is located in the Central Business District ( CBD ) of Bangkok .,neutral,72
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",positive,130
"They are responsible for their own operations , customer relationships , and the development of these .",neutral,103
"Компания ожидает, что ее оборот за весь 2010 год превзойдет оборот предыдущего года, составивший 67,1 млн евро.",positive,111
"Финский ритейлер Tiimari сообщил о квартальной выручке в размере 1,3 млн евро в четвертом квартале 2009 года, что выше убытка в размере 0,3 млн евро в 2008 году.",positive,161
"Компания обслуживает клиентов в различных отраслях промышленности, включая перерабатывающую промышленность и ресурсы, промышленное машиностроение, архитектуру, строительство, электротехнику, транспорт, электронику, химическую, нефтехимическую, энергетическую и информационную промышленность, а также сферу общественного питания и бытового обслуживания.",neutral,352
"Клиентами являются гостиницы и рестораны, а также оптовики и некоторые розничные торговцы.",neutral,90
"The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland .",neutral,203
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",positive,203
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,negative,60
The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral,97
"Компания заявила, что продажа будет завершена в сентябре или октябре.",neutral,69
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral,102
"Финский производитель волокон и пластиковых изделий Suominen Corporation сообщил, что его чистый убыток сократился до 1,6 млн евро (2,0 млн долларов США) за первые девять месяцев 2006 года с 2,16 млн евро (2,7 млн ​​долларов США) за аналогичный период 2005 года.",positive,262
"Прибыль за отчетный период составила 0,8 млн евро, что ниже показателя в 1,1 млн евро за аналогичный период 2008 года.",negative,118
"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",neutral,208
"20 октября 2010 г. - Финская металлообрабатывающая компания Componenta Oyj HEL: CTH1V вчера заявила, что ее чистый убыток сократился до 7 млн ​​евро за первые девять месяцев 2010 г. с 23,3 млн евро за аналогичный период 2009 г.",positive,227
"The closing of the transaction is scheduled to take place on January 10 , 2008 .",neutral,80
"The Company serves approximately 3,000 customers in over 100 countries .",neutral,72
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,positive,145
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative,71
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,134
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .",neutral,295
"С учетом изменений в структуре Группы чистый объем продаж Подразделения увеличился на 1,7 % .",positive,93
Он будет подчиняться генеральному директору CapMan Plc Хейкки Вестерлунду.,neutral,74
"Во вторник акции выросли третий день подряд, достигнув трехдневного роста до GBX10.50 или 1.8%.",positive,95
"Эти новые агрегаты будут производиться на современном производственном предприятии Cargotec в Сан-Антонио, штат Техас, США, которое начало работу в 2009 году.",neutral,158
"Страна: , Финляндия Сектор: Строительство-Недвижимость Цель: Pohjolan Design-Talo Oy Покупатель: CapMan Oyj Продавец: Ruukki Group Oyj Размер сделки в долларах США: 102,6 млн. Тип: Продажа Статус: Согласовано",neutral,208
"Включает данные о доле компаний и брендов по категориям, а также данные о каналах сбыта.",neutral,88
"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",neutral,107
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",neutral,178
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",neutral,159
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",positive,125
"По оценкам, показатель EBIT без учета единовременных статей увеличится с 2009 года.",positive,83
The webcast may be followed online on the company website at www.ruukki.com/investors .,neutral,87
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral,90
"Операционный убыток подразделения целлюлозно-бумажного машиностроения составил более 3 млн евро в период с сентября 2007 г. по август 2008 г. по сравнению с прибылью в размере 3,7 млн ​​евро годом ранее.",negative,203
Odell has not contacted the State of Finland in this issue .,neutral,60
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,119
"Их предложение также охватывает услуги по локализации, связанные с передачей производства клиентам финской компании, которые уже имеют производство на азиатском рынке или приняли решение о переводе производства туда.",neutral,216
Заказ включен в портфель заказов Metso на четвертый квартал 2007 года.,neutral,70
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",positive,83
"4 февраля 2011 г. - Финский поставщик систем широкополосной передачи данных Teleste Oyj HEL: TLT1V сообщил в среду, что его чистая прибыль резко возросла до 4,8 млн евро в 2010 г. с 416 000 евро в 2009 г., и он отменил свое предложение о дивидендах.",positive,249
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",neutral,175
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .",neutral,129
"В 2008 году чистый объем продаж AVC Systemhaus составил 10 миллионов евро (7,1 миллиона долларов США).",neutral,102
The order is related to renewing the network of the telecommunications operator .,neutral,81
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",positive,194
`` За прошедшие годы оранжевый цвет стал синонимом качества.,neutral,60
"Продажи в октябре-декабре составили 302 млн евро, что на 25,3% больше, чем в предыдущем году.",positive,93
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,79
"Финская компания Scanfil, контрактный производитель и поставщик систем связи и промышленной электроники, сообщает о чистых продажах в размере 108,7 млн ​​евро в первой половине 2008 года, что ниже показателя в 111,1 млн евро годом ранее.",negative,237
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,118
This amount will not be included in the pensionable salary .,neutral,60
"В польском бизнесе работают около 1000 человек, а его чистый объем продаж в 2007 году составил около 70 млн евро.",neutral,113
"Кардона сбавила скорость, развернулась и вернулась на перекресток, где позвонила по номеру 911.",neutral,95
"За отчетный период операционная прибыль компании выросла на 43,2 % и составила 6 млн евро .",positive,91
"Оборот компании за 2006 год составил 4,5 млн евро (6,1 млн долларов США), а операционная прибыль — 1,5 млн евро (2,0 млн долларов США).",neutral,135
Продажи выросли и на других экспортных рынках.,positive,46
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,169
"В число продаваемых предприятий входят производственные подразделения в Финляндии, Франции, Польше и Турции, а также торговые подразделения в Германии и Литве.",neutral,159
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",neutral,139
The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,neutral,94
"Краны будут установлены на борту двух грузовых судов, заказанных сингапурским судовладельцем Masterbulk.",neutral,104
"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",neutral,107
- Profit before taxes was EUR 105.9 82.7 million .,neutral,50
"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",positive,258
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,positive,74
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,neutral,125
"China Unicom, NYSE: CHU, HKSE: 0762 и SHSE: 600050, второй по величине оператор мобильной связи в стране.",neutral,105
"В 2005 году чистый объем продаж группы составил 35,3 млн евро (46,5 млн долларов США), а операционная прибыль — 760 000 евро (1,0 млн долларов США).",neutral,148
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",neutral,120
The order also includes start-up and commissioning services .,neutral,61
"Копирование, переиздание или распространение контента AFX News, в том числе путем фрейминга или аналогичными способами, категорически запрещено без предварительного письменного согласия AFX News.",neutral,195
"Votorantim Celulose e Papel (VCP) является частью Votorantim Group, крупного бразильского конгломерата.",neutral,103
"На основании результатов первого квартала, существующего портфеля заказов и перспектив новых заказов компания ожидает, что продажи за весь год сократятся на 25% по сравнению с 2008 годом, валовая прибыль останется на здоровом уровне, а операционная прибыль будет ниже, чем в 2008 году из-за снижения объема продаж.",negative,314
Elcoteq SE котируется на бирже Nasdaq OMX Helsinki Ltd.,neutral,55
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral,144
"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",neutral,155
"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A .",neutral,247
Финансовая информация не предоставлена.,neutral,39
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,neutral,120
"Общий объем перевозок Finnair снизился на 8,7 % в пересчете на коммерческие пассажиро-километры.",negative,96
"Г-н Макдональд начал вечер со своего собственного сета, в который вошли хиты из его сольной карьеры и времен Doobie Brothers, а также подборка кавер-версий песен в стиле R&B, которые были встречены неоднозначно.",neutral,211
"- Прибыль до налогообложения составила 105,9 млн евро.",neutral,54
"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously .",positive,162
"Финский производитель лифтов и эскалаторов корпорация KONE сообщила во вторник (18 марта), что она получила крупный заказ от сэра Роберта МакЭлпайна на поставку всех лифтов и эскалаторов для проекта Watermark Place в лондонском Сити.",positive,233
The total capacity of the factory will be approximately 100 engines a year .,neutral,76
Онлайн-карта ледовой обстановки показывает отсутствие льда в районе морских портов Эстонии на побережье Финского залива.,neutral,120
"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .",neutral,126
"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",neutral,88
"Стокгольм, 3 марта 2011 г. О компании Cybercom Cybercom Group — это высокотехнологичная консалтинговая компания, предлагающая глобальный поиск комплексных решений.",neutral,163
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,85
Scanfil plc — мировой контрактный производитель и поставщик систем связи и промышленной электроники.,neutral,100
"Корпус судна строился по одному блоку за раз, и Ruukki поставляла листовой материал для каждого блока по мере продвижения строительства.",neutral,136
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,208
"Производитель бумаги для печати NewPage Corp., поддерживаемый Cerberus Capital Management LP, опубликовал неоднозначные результаты за второй квартал, бросив тень на свое запланированное первичное публичное размещение акций.",negative,223
Affecto участвует в программе развития норвежской пенсионной системы с 2007 года.,neutral,81
"Длина моста составит 1,2 км, он будет расположен между Анасмотетом у дороги E20 и новой транспортной развязкой в ​​Мариехольме у дороги E45.",neutral,140
"Политика также была направлена ​​на то, чтобы сделать компании более прибыльными и конкурентоспособными.",positive,104
"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .",neutral,83
"Пивовар сообщил, что A. Le Coq Special был разработан к двухсотлетию компании и торговой марки.",neutral,95
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .,positive,88
"По данным финской Metso Minerals, стоимость заказов компании за 12 месяцев выросла до 1,9 млрд евро.",positive,100
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",neutral,218
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,positive,78
"Эркки Ярвинен, президент Rautakirja и глава подразделения Sanoma Trade, весной 2009 года оставит свои текущие обязанности и перейдет на аналогичную должность за пределами Sanoma Group.",neutral,184
"Компания Svyturys-Utenos Alus, контролируемая скандинавской группой Baltic Beverages Holding (BBH), сообщила о росте продаж пива на 6,1 процента за январь-сентябрь до 101,99 миллиона литров.",positive,190
ПРЕСС-РЕЛИЗ Alma Media Corporation 25 марта 2010 г. ПОКУПКА TYRV+ä+AN SANOMAT ПОДТВЕРЖДЕНА Коммерческая деятельность Tyrv+ñ+ñn Sanomat Oy будет передана Suomen Paikallissanomat Oy.,neutral,180
"Дивиденды подлежат выплате 1 февраля 2010 года акционерам, зарегистрированным по состоянию на 19 января 2010 года.",neutral,114
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,296
"А Хельсинки: Сегодня ELIiV сообщила о прибыли на акцию в размере 1,13 евро за 2009 год, что выше прибыли на акцию в размере 1,12 евро в 2008 году.",positive,146
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .,neutral,112
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,179
"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",neutral,91
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,135
"Компания Honkarakenne в основном экспортирует в Россию большие роскошные бревенчатые дома, которые используются в качестве односемейных домов или домов отдыха; 70 % продаж приходится на Московскую область, около 20 % — на регион Санкт-Петербурга, а оставшаяся часть — на другие регионы.",neutral,286
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral,97
"Компания Ragutis, контролируемая финской пивоварней, сообщила о росте продаж пива на 5,4% до 10,44 млн литров и заняла 11,09% доли рынка.",positive,137
Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,positive,59
"Самыми продаваемыми товарами в супермаркетах сети в Финляндии являются органические томаты Pirkka, морковь, яйца и мясные продукты.",neutral,131
- Противодействуйте сильным сторонам конкурентов и нацеливайтесь на их слабые стороны.,neutral,86
"Новые акции B дают право на дивиденды и другие права акционеров, вступающие в силу с сегодняшнего дня.",neutral,102
Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive,128
"Затем клиент перенаправляется на сайт, и неизвестный ему пользователь авторизуется под первым номером.",neutral,102
С этим назначением Kaupthing Bank намерен продолжить координацию деятельности на рынках капитала в рамках Группы и улучшить общее качество обслуживания клиентов.,positive,161
"Ожидается, что чистый объем продаж в 2007 году увеличится на 10 % по сравнению с 2006 годом.",positive,92
"Однако чистый объем продаж снизился с 1,2 млрд евро до 803,6 млн евро.",negative,70
"На следующий рабочий день клиенты могут проверить со своих домашних компьютеров, как их покупки распределены по различным группам ингредиентов, сколько энергии содержат различные продукты и какова пищевая ценность всех покупок.",neutral,227
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .,neutral,107
Он будет обеспечивать отопление в виде горячей воды для нужд лесопилки.,neutral,71
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,neutral,80
"Общая операционная выручка выросла на 27,6% в годовом исчислении и составила 61 млн евро.",positive,89
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",negative,123
"The Division also includes joint sales , marketing and controlling functions for these units .",neutral,94
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative,68
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,negative,90
"Однако компания Biohit ожидает, что ее общий чистый объем продаж продолжит расти в 2009 году, и что благоприятные тенденции в чистом объеме продаж приведут к прибыли в 2009 году.",positive,178
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,neutral,94
Marimekko рассматривает дальнейшие меры по данному вопросу.,neutral,59
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,neutral,101
Г-н Уолден и г-н Игнатиус будут также нести ответственность за результаты деятельности газеты.,neutral,94
"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .",neutral,141
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,neutral,146
"Операционная прибыль за первое полугодие составила 0,8 млн, что ниже показателя в 0,9 млн, поскольку Glisten инвестировала в бренд и управленческую команду.",negative,156
Качественные зарядные устройства под брендом CHARGZ продаются в избранных розничных магазинах и других торговых точках по всему миру.,neutral,133
"ХЕЛЬСИНКИ AFX - Компания Outokumpu сообщила, что ее технологическое подразделение выиграло контракт стоимостью 28 миллионов евро от компании Aluminij dd Mostar из Боснии и Герцеговины на модернизацию анодного завода.",positive,216
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",positive,60
Однако доля оплаченных постоянных поручений в 2009 году выросла.,positive,64
"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .",neutral,137
У банка 80 филиалов в Финляндии с годовым доходом в Финляндии в размере ?,neutral,73
The value of the order is nearly EUR400m .,neutral,42
The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,neutral,122
"Участок площадью более 10 000 квадратных метров, который компания Stockmann купила для торгового центра «Невский центр», расположен на Невском проспекте, главной улице Санкт-Петербурга, рядом со станцией метро «Площадь Восстания», в непосредственной близости от Московского вокзала.",neutral,282
"Прибыль до налогообложения снизилась до 31,6 млн евро с 50,0 млн евро годом ранее.",negative,82
"По данным Petcore, повторное использование в ПЭТ-бутылках также неуклонно растет, а темпы использования в качестве обвязочной ленты снова возросли после спада в 2005 году.",positive,171
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,182
The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,neutral,129
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,neutral,114
"Also , a six-year historic analysis is provided for this market .",neutral,65
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",positive,133
"Чистый объем продаж Sanoma Magazines Finland вырос с 131,8 млн евро до 140,1 млн евро.",positive,86
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,negative,220
"Пропускная способность порта составляет 250 тыс. TEU и 7,5 млн тонн генеральных грузов.",neutral,87
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive,150
"Сопоставимая операционная прибыль снизилась до 13,8 млн евро с 17,1 млн евро за аналогичный период 2005 года.",negative,109
"В число наших клиентов входят, в частности, компании энергетического и перерабатывающего секторов.",neutral,98
Prices and delivery volumes of broadband products decreased significantly in 2005 .,negative,83
Financial terms were not disclosed .,neutral,36
R&D Loan ) .,neutral,12
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",neutral,98
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative,204
"Акции Nokia выросли на 0,12% до 16,70 евро после начала утра на отрицательной территории.",positive,89
"Финский производитель стали Rautaruukki Oyj (HEL: RTRKS), или Ruukki, сегодня сообщил, что его чистый убыток сократился до 49 миллионов евро (68,2 миллиона долларов США) за первые девять месяцев 2010 года по сравнению с 229 миллионами евро за тот же период годом ранее.",positive,269
Welcome !,neutral,9
"Годовой отчет будет автоматически отправлен акционерам, владеющим не менее 2000 акций Sampo plc.",neutral,96
No financial or pricing details were disclosed .,neutral,48
"По словам Куулы, Fortum необходимо получить четкий сигнал от правительства о готовности получить разрешение, прежде чем компания начнет следующий раунд.",neutral,152
"`` Over the years , the color orange has become synonymous with quality .",neutral,73
"Консолидированная операционная прибыль от продолжающейся деятельности снизилась на 62,3 % до 51,2 млн евро с 135,7 млн ​​евро в 2007 году.",negative,138
"По этому же адресу находится итальянский мегамаркет Eataly, что означает: «Вперед, дети, мы идем в Toy Building!»",neutral,113
"Цена предложения составляет 35 миллионов долларов США, включая наличные в размере 10 миллионов долларов США в качестве чистого долга FACE и акции Cencorp на сумму 20 миллионов долларов США, которые будут выпущены в пользу Savcor.",neutral,229
"Yara Suomi Ltd также поставляет азотные химикаты и технические нитраты для различных отраслей промышленности, а также продукцию, используемую в области защиты окружающей среды.",neutral,176
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",positive,121
"Финская компания по производству кремниевых пластин Okmetic Oyj OMX Helsinki: В четверг 30 октября компания OKM1V сообщила об операционной прибыли в размере 7,4 млн евро за январь-сентябрь 2008 года, что выше показателя в 6,1 млн евро за аналогичный период 2007 года.",positive,267
"Мика Штальберг, вице-президент F-Secure Labs, сказал: «Мы рады и гордимся тем, что F-Secure был признан AV-Comparatives Продуктом года».",positive,136
"Финский разработчик программного обеспечения для розничной торговли Aldata Solution Oyj сообщил о чистом убытке в размере 11,7 млн ​​евро (17,2 млн долларов США) за 2007 год по сравнению с чистой прибылью в размере 2,5 млн евро (3,7 млн ​​долларов США) за 2006 год.",negative,265
"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",neutral,169
The purchase price was not disclosed .,neutral,38
"Nokia Siemens Networks предоставляет операторам и поставщикам услуг инфраструктуру мобильных и фиксированных сетей, платформы для связи и сетевых услуг, а также профессиональные услуги.",neutral,185
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",neutral,58
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,positive,91
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,80
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,79
"Новыми владельцами контрольного пакета акций Aspocomp Thailand Co., Ltd стали определенные частные лица, входящие в ближайшее окружение нынешнего партнера Aspocomp по совместному предприятию, Saha Pathana Inter-Holding Plc.",neutral,223
Закон ЕС по этому вопросу может быть принят около 2010 года.,neutral,60
Операционный убыток составил 179 млн евро по сравнению с убытком в размере 188 млн евро во втором квартале 2009 года.,positive,117
Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .,neutral,143
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,positive,175
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,positive,95
15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,positive,204
Ее работа в NetApp включала стратегическое изменение позиционирования бренда в категории и масштабный глобальный перезапуск.,neutral,124
"«Реализация этих программ оказала и будет оказывать отрицательное влияние на доходы в 2006 и 2007 годах», - сказал г-н Мейкледжон.",negative,130
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral,116
Финансовые подробности сделки не разглашаются.,neutral,46
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,positive,168
"Cramo потерпела убытки до налогообложения в размере 6,7 млн ​​евро с прибыли до налогообложения в размере 58,9 млн евро.",negative,120
"Контракт также включает резку и окантовку деталей вагонов в сервисных центрах Ruukki по обработке стали в Сейняйоки и Раахе, оба на юго-западе Финляндии, откуда они будут доставлены в VR для сварки и сборки.",neutral,207
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",negative,134
"The remaining amount will be funded through debt , the Danish bank said .",neutral,73
"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",positive,154
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,neutral,113
"Листингуемые на бирже шведские, финские и датские компании организованы в три сегмента рыночной капитализации: североевропейские компании с большой капитализацией, компании со средней капитализацией и компании с малой капитализацией.",neutral,233
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,98
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,217
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",positive,85
"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral,137
Castecka said the town hall would hold talks with other investors interested in the zone .,neutral,90
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative,97
The bank sees a potential for Getinge share to rise .,positive,53
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),neutral,78
«Мы удовлетворены усилиями обеих переговорных групп и с нетерпением ждем продуктивных четырех лет вперед».,positive,106
This wood lacquered clock comes with a stripy hand-crocheted cover .,neutral,68
"Операционная прибыль увеличилась на 27 % до 579,8 млн евро с 457,2 млн евро в 2006 году.",positive,88
"Сюда также входит установка нового оборудования, обучение и пусконаладочные работы, а также техническое обслуживание обувного пресса, поставленного Vaahto в 2001 году.",neutral,167
"Результаты Efore за последний квартал продемонстрировали еще более быстрый рост, поскольку компании удалось улучшить источники поставок комплектующих.",positive,150
"Изменения, объявленные сегодня, вступят в силу после закрытия торгов в пятницу, 19 июня 2009 года.",neutral,98
"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",neutral,138
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive,79
